AirportCode,AirportName,City,Country
WIO,Changchester Intl,Port Carrie,New Caledonia
GBR,West Tammyfort Intl,Seanfurt,Switzerland
NBX,Hullport Intl,Barbaraport,Morocco
CSV,Howardborough Intl,East Lori,British Indian Ocean Territory (Chagos Archipelago)
FUO,West Donald Intl,New Tinaview,India
VAZ,New Laurenside Intl,Jonesberg,Bermuda
FOL,West Corey Intl,North Megan,Heard Island and McDonald Islands
PVI,Port Gabriellafort Intl,Masseyhaven,Syrian Arab Republic
DOC,West Ryanborough Intl,Aimeebury,Brazil
IGE,Ramoshaven Intl,Lake Brittany,Argentina
SSB,Bryanside Intl,Rileymouth,New Caledonia
DDB,North Jenniferfurt Intl,Kellerstad,Angola
MHH,New Tristanmouth Intl,West Chloefort,Congo
JIQ,Lake Mark Intl,Meganbury,Colombia
ZWZ,East Sallybury Intl,Lake Josephbury,Saint Barthelemy
DIX,Port Tammy Intl,Lauramouth,British Virgin Islands
XCV,Davismouth Intl,Cabreraville,Lesotho
HCU,Rodriguezside Intl,Port Heidi,Cote d'Ivoire
XFU,Jasmineside Intl,Port Audreyside,Saint Lucia
SUQ,Lisaside Intl,North Davidborough,South Georgia and the South Sandwich Islands
